lead_id,assigned_by,assigned_to,assigned_date,status,call_duration,call_status,is_hot,is_warm,is_cold
L001,E102,A203,2025-10-10,converted_yes,173,answered,0,1,0
L002,E102,A204,2025-09-23,converted_yes,97,answered,0,1,0
L003,E101,A201,2025-10-22,followup_pending,195,answered,1,0,0
L004,E101,A201,2025-09-14,converted_no,525,missed,1,0,0
L005,E101,A202,2025-09-04,followup_pending,430,missed,1,0,0
L006,E101,A201,2025-10-08,followup_pending,581,missed,0,1,0
L007,E101,A202,2025-10-08,followup_pending,450,missed,0,1,0
L008,E102,A203,2025-09-22,converted_no,141,answered,0,1,0
L009,E102,A204,2025-10-15,converted_no,487,missed,0,0,1
L010,E101,A201,2025-09-15,followup_pending,553,missed,0,0,1
L011,E101,A202,2025-09-05,converted_yes,208,answered,0,0,1
L012,E101,A201,2025-10-16,converted_yes,236,answered,0,1,0
L013,E101,A202,2025-09-21,converted_yes,406,answered,1,0,0
L014,E102,A203,2025-10-18,converted_no,160,missed,1,0,0
L015,E102,A204,2025-10-25,converted_yes,560,answered,0,1,0
L016,E102,A204,2025-09-15,followup_pending,303,missed,0,0,1
L017,E102,A204,2025-09-02,converted_no,246,missed,0,1,0
L018,E101,A202,2025-10-05,converted_no,88,missed,1,0,0
L019,E101,A202,2025-10-24,converted_no,256,answered,0,1,0
L020,E102,A203,2025-10-17,converted_no,299,answered,0,1,0
L021,E101,A201,2025-10-18,converted_no,422,missed,0,1,0
L022,E102,A203,2025-10-17,converted_no,304,missed,0,1,0
L023,E101,A202,2025-10-22,converted_yes,158,answered,0,0,1
L024,E101,A202,2025-09-08,converted_no,114,answered,0,0,1
L025,E102,A203,2025-10-16,converted_no,423,answered,1,0,0
L026,E101,A201,2025-09-08,followup_pending,162,answered,1,0,0
L027,E101,A201,2025-09-05,followup_pending,129,answered,1,0,0
L028,E101,A202,2025-10-09,followup_pending,596,answered,0,1,0
L029,E102,A204,2025-10-01,converted_no,181,answered,0,1,0
L030,E102,A203,2025-10-03,converted_yes,533,answered,0,0,1
L031,E102,A203,2025-09-06,converted_yes,183,answered,0,0,1
L032,E102,A204,2025-09-21,followup_pending,204,missed,0,0,1
L033,E102,A203,2025-10-15,converted_no,330,missed,0,1,0
L034,E102,A204,2025-10-06,converted_no,530,missed,0,1,0
L035,E102,A203,2025-10-03,converted_no,406,answered,0,1,0
L036,E102,A204,2025-10-01,converted_no,402,missed,1,0,0
L037,E101,A202,2025-10-08,converted_no,105,answered,0,1,0
L038,E102,A204,2025-09-12,followup_pending,394,answered,0,0,1
L039,E102,A203,2025-09-19,converted_no,101,answered,0,1,0
L040,E101,A202,2025-09-07,converted_yes,182,answered,0,0,1
L041,E102,A204,2025-10-22,followup_pending,494,answered,0,1,0
L042,E101,A202,2025-09-08,converted_yes,94,answered,0,0,1
L043,E102,A204,2025-10-05,followup_pending,220,missed,1,0,0
L044,E102,A204,2025-10-12,converted_no,199,missed,0,1,0
L045,E102,A204,2025-10-14,converted_yes,566,answered,0,1,0
L046,E101,A201,2025-09-23,followup_pending,88,missed,0,0,1
L047,E102,A204,2025-09-18,converted_no,308,answered,0,1,0
L048,E101,A202,2025-10-21,converted_no,256,missed,1,0,0
L049,E101,A201,2025-09-24,followup_pending,438,answered,0,0,1
L050,E102,A203,2025-10-09,converted_yes,555,answered,0,0,1
L051,E101,A202,2025-09-05,converted_yes,300,answered,0,0,1
L052,E102,A204,2025-09-02,converted_yes,70,answered,0,0,1
L053,E101,A201,2025-09-18,converted_yes,137,answered,0,0,1
L054,E101,A202,2025-09-18,converted_no,562,missed,1,0,0
L055,E102,A203,2025-10-04,converted_yes,515,answered,0,0,1
L056,E101,A202,2025-10-02,converted_no,371,answered,0,1,0
L057,E102,A204,2025-10-03,followup_pending,407,missed,0,1,0
L058,E101,A202,2025-09-18,converted_no,480,answered,1,0,0
L059,E101,A202,2025-10-20,converted_no,358,missed,0,0,1
L060,E101,A202,2025-09-04,followup_pending,345,answered,0,0,1
